Class,FPR,TPR,AUC
NUA,0.22950819672131148,0.9302325581395349,0.9166031261913838
NUA,0.2459016393442623,0.9302325581395349,0.9166031261913838
NUA,0.2459016393442623,0.9418604651162791,0.9166031261913838
NUA,0.27049180327868855,0.9418604651162791,0.9166031261913838
NUA,0.27049180327868855,0.9534883720930233,0.9166031261913838
NUA,0.2786885245901639,0.9534883720930233,0.9166031261913838
NUA,0.2786885245901639,0.9651162790697675,0.9166031261913838
NUA,0.29508196721311475,0.9651162790697675,0.9166031261913838
NUA,0.29508196721311475,0.9767441860465116,0.9166031261913838
NUA,0.3114754098360656,0.9767441860465116,0.9166031261913838
NUA,0.3114754098360656,0.9883720930232558,0.9166031261913838
NUA,0.3770491803278688,0.9883720930232558,0.9166031261913838
NUA,0.3770491803278688,1.0,0.9166031261913838
NUA,1.0,1.0,0.9166031261913838
MIX,0.0,0.0,0.9385212418300654
MIX,0.0,0.013888888888888888,0.9385212418300654
MIX,0.0,0.09722222222222222,0.9385212418300654
MIX,0.007352941176470588,0.09722222222222222,0.9385212418300654
MIX,0.007352941176470588,0.16666666666666666,0.9385212418300654
MIX,0.014705882352941176,0.16666666666666666,0.9385212418300654
MIX,0.014705882352941176,0.19444444444444445,0.9385212418300654
MIX,0.022058823529411766,0.19444444444444445,0.9385212418300654
MIX,0.022058823529411766,0.25,0.9385212418300654
MIX,0.029411764705882353,0.25,0.9385212418300654
MIX,0.029411764705882353,0.3611111111111111,0.9385212418300654
MIX,0.04411764705882353,0.3611111111111111,0.9385212418300654
MIX,0.04411764705882353,0.6388888888888888,0.9385212418300654
MIX,0.058823529411764705,0.6388888888888888,0.9385212418300654
MIX,0.058823529411764705,0.7222222222222222,0.9385212418300654
MIX,0.0661764705882353,0.7222222222222222,0.9385212418300654
MIX,0.0661764705882353,0.75,0.9385212418300654
MIX,0.07352941176470588,0.75,0.9385212418300654
MIX,0.07352941176470588,0.8055555555555556,0.9385212418300654
MIX,0.08823529411764706,0.8055555555555556,0.9385212418300654
MIX,0.08823529411764706,0.8194444444444444,0.9385212418300654
MIX,0.11764705882352941,0.8194444444444444,0.9385212418300654
MIX,0.11764705882352941,0.8611111111111112,0.9385212418300654
MIX,0.125,0.8611111111111112,0.9385212418300654
MIX,0.125,0.9166666666666666,0.9385212418300654
MIX,0.1323529411764706,0.9166666666666666,0.9385212418300654
MIX,0.1323529411764706,0.9305555555555556,0.9385212418300654
MIX,0.15441176470588236,0.9305555555555556,0.9385212418300654
MIX,0.15441176470588236,0.9583333333333334,0.9385212418300654
MIX,0.17647058823529413,0.9583333333333334,0.9385212418300654
MIX,0.17647058823529413,0.9722222222222222,0.9385212418300654
MIX,0.25,0.9722222222222222,0.9385212418300654
MIX,0.25,0.9861111111111112,0.9385212418300654
MIX,0.5661764705882353,0.9861111111111112,0.9385212418300654
MIX,0.5661764705882353,1.0,0.9385212418300654
MIX,1.0,1.0,0.9385212418300654
Macro,0.0,0.1662058570198105,0.8909513380353495
Macro,0.006329113924050633,0.2062058570198105,0.8909513380353495
Macro,0.007352941176470588,0.22935400516795865,0.8909513380353495
Macro,0.00819672131147541,0.24098191214470285,0.8909513380353495
Macro,0.012658227848101266,0.2676485788113695,0.8909513380353495
Macro,0.014705882352941176,0.27690783807062874,0.8909513380353495
Macro,0.01639344262295082,0.3117915590008613,0.8909513380353495
Macro,0.022058823529411766,0.33031007751937985,0.8909513380353495
Macro,0.02459016393442623,0.34581395348837213,0.8909513380353495
Macro,0.029411764705882353,0.38285099052540916,0.8909513380353495
